cluster_id,num_officers,hour,daily_avg,tier1,tier2,peak_hour,prevention_rate
186,1,6,40.45333333333333,1,0,0,0.24384356612044933
186,1,8,40.45333333333333,1,0,1,0.2843194279531526
186,1,10,40.45333333333333,1,0,1,0.3157575415240277
186,1,12,40.45333333333333,1,0,1,0.35077119425632103
186,1,14,40.45333333333333,1,0,1,0.28048386501106654
186,1,16,40.45333333333333,1,0,1,0.28048452172203275
186,1,18,40.45333333333333,1,0,1,0.35301851262029565
186,1,20,40.45333333333333,1,0,0,0.25467238916611634
186,1,22,40.45333333333333,1,0,0,0.20519602456260191
186,2,6,40.45333333333333,1,0,0,0.3251524017434386
186,2,8,40.45333333333333,1,0,1,0.37416329228750156
186,2,10,40.45333333333333,1,0,1,0.37407080985718977
186,2,12,40.45333333333333,1,0,1,0.40237849086264144
186,2,14,40.45333333333333,1,0,1,0.31616879021368816
186,2,16,40.45333333333333,1,0,1,0.32370328669947873
186,2,18,40.45333333333333,1,0,1,0.37020849883036117
186,2,20,40.45333333333333,1,0,0,0.2629367551866231
186,2,22,40.45333333333333,1,0,0,0.31601989330381103
186,3,6,40.45333333333333,1,0,0,0.3466040369791516
186,3,8,40.45333333333333,1,0,1,0.43905785194658836
186,3,10,40.45333333333333,1,0,1,0.5541759507568622
186,3,12,40.45333333333333,1,0,1,0.48651894798053863
186,3,14,40.45333333333333,1,0,1,0.498251128187517
186,3,16,40.45333333333333,1,0,1,0.4385600725514618
186,3,18,40.45333333333333,1,0,1,0.4737746910189927
186,3,20,40.45333333333333,1,0,0,0.3873619035883947
186,3,22,40.45333333333333,1,0,0,0.3368852569031079
186,4,6,40.45333333333333,1,0,0,0.4774279207338269
186,4,8,40.45333333333333,1,0,1,0.5743744524032478
186,4,10,40.45333333333333,1,0,1,0.586732250008269
186,4,12,40.45333333333333,1,0,1,0.5743317355108242
186,4,14,40.45333333333333,1,0,1,0.6724911273803575
186,4,16,40.45333333333333,1,0,1,0.5978601110104826
186,4,18,40.45333333333333,1,0,1,0.556091562841764
186,4,20,40.45333333333333,1,0,0,0.4953017964841276
186,4,22,40.45333333333333,1,0,0,0.41356625400115915
186,5,6,40.45333333333333,1,0,0,0.5285545438001902
186,5,8,40.45333333333333,1,0,1,0.594813195044809
186,5,10,40.45333333333333,1,0,1,0.6200725580440628
186,5,12,40.45333333333333,1,0,1,0.6810744494347649
186,5,14,40.45333333333333,1,0,1,0.7027386631998165
186,5,16,40.45333333333333,1,0,1,0.6800547312475989
186,5,18,40.45333333333333,1,0,1,0.6685740687044704
186,5,20,40.45333333333333,1,0,0,0.5081558521764284
186,5,22,40.45333333333333,1,0,0,0.4610591203853029
117,1,6,23.253333333333334,1,0,0,0.19518123166421167
117,1,8,23.253333333333334,1,0,1,0.2714244491616085
117,1,10,23.253333333333334,1,0,1,0.33213488904875665
117,1,12,23.253333333333334,1,0,1,0.3035947315827385
117,1,14,23.253333333333334,1,0,1,0.21932839378549063
117,1,16,23.253333333333334,1,0,1,0.3028133587757918
117,1,18,23.253333333333334,1,0,1,0.2744467087833473
117,1,20,23.253333333333334,1,0,0,0.19689811998776166
117,1,22,23.253333333333334,1,0,0,0.24844205155363472
117,2,6,23.253333333333334,1,0,0,0.3446899808998381
117,2,8,23.253333333333334,1,0,1,0.429951204764648
117,2,10,23.253333333333334,1,0,1,0.35913129907109453
117,2,12,23.253333333333334,1,0,1,0.3803315049659515
117,2,14,23.253333333333334,1,0,1,0.4059505372561426
117,2,16,23.253333333333334,1,0,1,0.43172180508489444
117,2,18,23.253333333333334,1,0,1,0.37353303048618847
117,2,20,23.253333333333334,1,0,0,0.29602364093344735
